school,year,students,avg_attendance_rate,n_at_or_above_90,pct_at_or_above_90
Brighton Academy Middle School,SY 2023-24,1,0.97,1,100
Clary Middle School,SY 2023-24,25,0.922,18,72
Corcoran HS,SY 2023-24,2,0.686,0,0
Delaware Primary ES,SY 2023-24,1,0.759,0,0
Frazer Middle School,SY 2023-24,32,0.851,11,39.3
Grant MS,SY 2023-24,2,0.579,0,0
Henninger High School,SY 2023-24,24,0.797,6,25
Lincoln Middle School,SY 2023-24,23,0.832,8,36.4
Meachem ES,SY 2023-24,1,0.892,0,0
Oasis Academy,SY 2023-24,1,0.922,1,100
PSLA at George Fowler High School,SY 2023-24,27,0.871,14,51.9
Roberts PreK-8 School,SY 2023-24,12,0.871,5,41.7
Stem at Blodgett Middle School,SY 2023-24,25,0.847,12,48
Brighton Academy Middle School,SY 2024-25,1,0.83,0,0
Clary Middle School,SY 2024-25,15,0.925,11,73.3
Frazer Middle School,SY 2024-25,16,0.894,8,57.1
Henninger High School,SY 2024-25,9,0.802,3,33.3
Lincoln Middle School,SY 2024-25,15,0.83,9,60
Nottingham HS,SY 2024-25,1,0.598,0,0
PSLA at George Fowler High School,SY 2024-25,16,0.85,9,56.2
Roberts PreK-8 School,SY 2024-25,5,0.864,2,40
Stem at Blodgett Middle School,SY 2024-25,14,0.863,8,57.1
Brighton Academy Middle School,SY 2025-26,24,0.817,11,47.8
Clary Middle School,SY 2025-26,19,0.901,12,63.2
Frazer Middle School,SY 2025-26,21,0.891,12,63.2
Lincoln Middle School,SY 2025-26,24,0.898,13,76.5
Roberts PreK-8 School,SY 2025-26,21,0.958,19,90.5
Stem at Blodgett Middle School,SY 2025-26,26,0.859,9,34.6
