school,year,students,avg_year_score,n_passing_all_mps,pct_passing_all_mps
Brighton Academy Middle School,SY 2023-24,1,74.85,1,100
Clary Middle School,SY 2023-24,25,75.21,20,80
Corcoran HS,SY 2023-24,2,48.84,0,0
Delaware Primary ES,SY 2023-24,1,NA,0,NA
Frazer Middle School,SY 2023-24,32,70.66,15,53.6
Grant MS,SY 2023-24,2,65.78,1,50
Henninger High School,SY 2023-24,24,65.68,10,41.7
Lincoln Middle School,SY 2023-24,23,70.58,11,47.8
Meachem ES,SY 2023-24,1,NA,0,NA
Oasis Academy,SY 2023-24,1,73.22,1,100
PSLA at George Fowler High School,SY 2023-24,27,65.51,8,29.6
Roberts PreK-8 School,SY 2023-24,12,68.62,7,58.3
Stem at Blodgett Middle School,SY 2023-24,25,73.98,17,68
Brighton Academy Middle School,SY 2024-25,1,71.76,0,0
Clary Middle School,SY 2024-25,15,73.33,10,66.7
Frazer Middle School,SY 2024-25,16,66.86,3,21.4
Henninger High School,SY 2024-25,9,75.58,5,55.6
Lincoln Middle School,SY 2024-25,15,70.79,7,46.7
Nottingham HS,SY 2024-25,1,38.63,0,0
PSLA at George Fowler High School,SY 2024-25,16,65.39,6,37.5
Roberts PreK-8 School,SY 2024-25,5,71.56,2,40
Stem at Blodgett Middle School,SY 2024-25,14,70.64,7,50
Brighton Academy Middle School,SY 2025-26,24,66.73,9,39.1
Clary Middle School,SY 2025-26,19,73.12,13,68.4
Frazer Middle School,SY 2025-26,21,72.05,10,52.6
Lincoln Middle School,SY 2025-26,24,78.55,15,88.2
Roberts PreK-8 School,SY 2025-26,21,77.86,20,95.2
Stem at Blodgett Middle School,SY 2025-26,26,68.48,12,48
