school,year,students,oss,iss,oss_days,iss_days,total_susp_days,students_1plus,students_2plus,students_5plus_days
Brighton Academy Middle School,SY 2023-24,1,0,0,0,0,0,0,0,0
Clary Middle School,SY 2023-24,25,0,3,0,4,4,3,0,0
Corcoran HS,SY 2023-24,2,6,1,21,2,23,2,2,2
Delaware Primary ES,SY 2023-24,1,0,0,0,0,0,0,0,0
Frazer Middle School,SY 2023-24,32,2,0,6,0,6,2,0,0
Grant MS,SY 2023-24,2,1,0,2,0,2,1,0,0
Henninger High School,SY 2023-24,24,22,6,66,8,74,11,9,6
Lincoln Middle School,SY 2023-24,23,14,11,44,20,64,8,7,6
Meachem ES,SY 2023-24,1,0,0,0,0,0,0,0,0
Oasis Academy,SY 2023-24,1,0,0,0,0,0,0,0,0
PSLA at George Fowler High School,SY 2023-24,27,38,14,110,19.9,129.9,17,13,11
Roberts PreK-8 School,SY 2023-24,12,1,2,1,2,3,3,0,0
Stem at Blodgett Middle School,SY 2023-24,25,5,6,7,1.5,8.5,6,3,0
Brighton Academy Middle School,SY 2024-25,1,0,0,0,0,0,0,0,0
Clary Middle School,SY 2024-25,15,2,1,4,1,5,3,0,0
Frazer Middle School,SY 2024-25,16,1,0,3,0,3,1,0,0
Henninger High School,SY 2024-25,9,3,0,7,0,7,2,1,0
Lincoln Middle School,SY 2024-25,15,3,3,13,5,18,2,2,2
Nottingham HS,SY 2024-25,1,0,0,0,0,0,0,0,0
PSLA at George Fowler High School,SY 2024-25,16,42,16,113,22,135,14,13,11
Roberts PreK-8 School,SY 2024-25,5,1,1,1,2,3,1,1,0
Stem at Blodgett Middle School,SY 2024-25,14,5,4,10,1.7,11.7,5,3,1
Brighton Academy Middle School,SY 2025-26,24,19,6,41,5,46,13,6,4
Clary Middle School,SY 2025-26,19,1,2,3,2,5,3,0,0
Frazer Middle School,SY 2025-26,21,5,1,11,1,12,3,2,1
Lincoln Middle School,SY 2025-26,24,5,8,9,8.5,17.5,5,4,1
Roberts PreK-8 School,SY 2025-26,21,5,6,7,5.5,12.5,6,4,0
Stem at Blodgett Middle School,SY 2025-26,26,2,13,2,3.8,5.8,5,3,0
